#"Progress (%)"	"Step"	"Speed (ns/day)"	"Time Remaining"
: 10.0%	1000	0	--
: 20.0%	2000	262	0:10
: 30.0%	3000	263	0:09
: 40.0%	4000	262	0:07
: 50.0%	5000	258	0:06
: 60.0%	6000	259	0:05
: 70.0%	7000	257	0:04
: 80.0%	8000	256	0:02
: 90.0%	9000	253	0:01
: 100.0%	10000	252	0:00
: 10.0%	1000	0	--
: 20.0%	2000	12.3	3:44
: 30.0%	3000	20.1	2:00
: 40.0%	4000	25.4	1:21
: 50.0%	5000	29.2	0:59
: 60.0%	6000	32.1	0:43
: 70.0%	7000	34.6	0:29
: 80.0%	8000	36.6	0:18
: 90.0%	9000	38.1	0:09
: 100.0%	10000	39.5	0:00
: 10.0%	1000	42.4	--
: 20.0%	2000	45.9	11:03
: 30.0%	3000	49.2	4:55
: 40.0%	4000	52.5	2:51
: 50.0%	5000	55.6	1:48
: 60.0%	6000	58.7	1:10
: 70.0%	7000	61.7	0:44
: 80.0%	8000	64.5	0:26
: 90.0%	9000	67.4	0:11
: 100.0%	10000	70.1	0:00
: 10.0%	1000	34.2	--
: 20.0%	2000	35.2	14:23
: 30.0%	3000	36.1	6:41
: 40.0%	4000	37	4:03
: 50.0%	5000	37.7	2:40
: 60.0%	6000	38.3	1:48
: 70.0%	7000	38.9	1:11
: 80.0%	8000	39.4	0:42
: 90.0%	9000	39.9	0:19
: 100.0%	10000	40.3	0:00
: 10.0%	1000	42	--
: 20.0%	2000	43.8	22:06
: 30.0%	3000	45.5	9:45
: 40.0%	4000	47.2	5:36
: 50.0%	5000	48.8	3:32
: 60.0%	6000	50.5	2:16
: 70.0%	7000	52.1	1:26
: 80.0%	8000	53.7	0:49
: 90.0%	9000	55.3	0:21
: 100.0%	10000	56.8	0:00
: 10.0%	1000	37.6	--
: 20.0%	2000	38.1	25:24
: 30.0%	3000	38.5	11:30
: 40.0%	4000	38.9	6:48
: 50.0%	5000	39.3	4:23
: 60.0%	6000	39.7	2:54
: 70.0%	7000	40	1:52
: 80.0%	8000	40.3	1:06
: 90.0%	9000	40.6	0:29
: 100.0%	10000	40.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	43.1	33:09
: 30.0%	3000	44.2	14:34
: 40.0%	4000	45.4	8:22
: 50.0%	5000	46.5	5:15
: 60.0%	6000	47.6	3:23
: 70.0%	7000	48.7	2:07
: 80.0%	8000	49.8	1:13
: 90.0%	9000	50.9	0:32
: 100.0%	10000	52	0:00
: 10.0%	1000	38.9	--
: 20.0%	2000	39.2	36:28
: 30.0%	3000	39.4	16:21
: 40.0%	4000	39.7	9:34
: 50.0%	5000	40	6:07
: 60.0%	6000	40.2	4:00
: 70.0%	7000	40.5	2:33
: 80.0%	8000	40.7	1:29
: 90.0%	9000	40.9	0:40
: 100.0%	10000	41.1	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42.8	44:07
: 30.0%	3000	43.7	19:23
